block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
12998656,0.00043483,0.00000000,0.00043483,28954.21904802,561,0.00043483,0x040f97e4d1b3dca08c394c044bb45c145fd69080,
12998658,0.00100000,0.00000000,0.00100000,28954.22004802,562,0.00100000,0x270eb1aff36e44fa5ef20b3cde2788bbf686b5d8,
12998663,0.00000100,0.00000000,0.00000100,28954.22004902,562,0.00000100,0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998672,0.00001000,0.00000000,0.00001000,28954.22005902,563,0.00001000,0xe83da65ce01ff651b4f4eb61673f073775bf8d37,
12998678,0.00011010,0.00000000,0.00011010,28954.22016912,566,0.00010000,0xec1b8fb930d24b14beba452dceb6f8bdd3528a45|0xe4ebf8f519608d751701a15aa01eac0ae35d6940|0x07862cd35115f8b01f5cc18e66afd27d5550a55d,
12998681,0.00000013,0.00000000,0.00000013,28954.22016925,566,0.00000013,0x277b652f157e3101f64ef59f03d868ec01ea8b32,
12998682,0.00010000,0.00000000,0.00010000,28954.22026925,567,0.00010000,0xc9a91769b774785a3455d132384875e598417f35,
12998683,0.00010000,0.00000000,0.00010000,28954.22036925,568,0.00010000,0xac063e777079c9a496c5b4abe73be45d494436cf,
12998687,0.00101000,0.00000000,0.00101000,28954.22137925,569,0.00100000,0xa66444c703a90fb2fda9e6a79a3d1af29a692535|0x8d0172e88bd400884708318bac77bc69f76ae082,
12998692,0.00000010,0.00000000,0.00000010,28954.22137935,570,0.00000010,0x04bf41818048063aa94c6b118b7bdc49d330273d,
12998697,0.00001000,0.00000000,0.00001000,28954.22138935,571,0.00001000,0xdee349e026fed00ee9033c3b63ef832218af7f71,
12998699,0.00010000,0.00000000,0.00010000,28954.22148935,572,0.00010000,0xcb0f462acebe4990f0b19776c0c80edd4b0fa015,
12998700,0.00010000,0.00000000,0.00010000,28954.22158935,573,0.00010000,0x086b68b5443a6491724a3e3376492f1dd1e220a9,
12998702,0.00001000,0.00000000,0.00001000,28954.22159935,574,0.00001000,0xf3dc2f71a480803bd3e8d1bcd1d8117ce8a86462,
12998705,0.00010100,0.00000000,0.00010100,28954.22170035,575,0.00010000,0x19c6a951ecf8e29475decbba177ed0597a456f22|0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998707,0.00027283,0.00000000,0.00027283,28954.22197318,577,0.00027183,0xc86fb7db6f8d457f865fc5dafdb3aca4599c1b28|0x79c826717f3bf00b1a540409080cb36da193de61,
12998708,0.00020000,0.00000000,0.00020000,28954.22217318,579,0.00010000,0x7c8c985ac239785cdbc284e264c7881d0d65b2c6|0x1c315496aeb9c488b8a810c186b5c4682b468269,
12998709,0.00010000,0.00000000,0.00010000,28954.22227318,580,0.00010000,0xeb89007481990d739c1ed98d210bddfb60e8f3bf,
12998711,0.00010013,0.00000000,0.00010013,28954.22237331,581,0.00010000,0x53725aa381a3d0ba6622e87287f31a17725f1cd0|0x277b652f157e3101f64ef59f03d868ec01ea8b32,
12998713,0.00010000,0.00000000,0.00010000,28954.22247331,581,0.00010000,0xe83da65ce01ff651b4f4eb61673f073775bf8d37,
12998716,0.00100010,0.00000000,0.00100010,28954.22347341,581,0.00100000,0x1570d57738f7bf1033d97fb716cafb94e6e44b27|0x11f44789bba4adc907b6c035a86d4f401f1d559f,
12998720,0.00020000,0.00000000,0.00020000,28954.22367341,583,0.00010000,0xb3ffe0bfff46e550ef01b3b4834030188045d216|0xee8cbd5a1cb30e9df445ea6a3d536f499d9b6c95,
12998724,0.00001000,0.00000000,0.00001000,28954.22368341,584,0.00001000,0x9c62209b2389659c55da99f35f8996fb7f34a844,
12998726,0.00110200,0.00000000,0.00110200,28954.22478541,588,0.00100000,0x7efe6498de1f648135b22e184d3f3be9712969a4|0x34e263b0292a7ad82c56bcef9093f2a614d04d45|0x9a0c367521aa7879369e197fe2798aeef47ae7e0|0xd1eee74a78784ae72c3ecc375735218d76f9abc8,
12998729,0.00010000,0.00000000,0.00010000,28954.22488541,589,0.00010000,0xbd05e3e4750abcca5fd0bce366f37ccbd1dabe8a,
12998730,0.00110000,0.00000000,0.00110000,28954.22598541,591,0.00100000,0x79d9f7874ed660017aa6dbf0ddc5b3a3212e1860|0xb616340a10f14218e5db19cdadda686a9557658b,
12998731,0.00001000,0.00000000,0.00001000,28954.22599541,592,0.00001000,0x6f5d3d0f3599a3f040ffebb1a7e9384786a9787e,
12998735,0.00000100,0.00000000,0.00000100,28954.22599641,593,0.00000100,0xddb048f3d78037fc3a81b92e22833c0ffbcbf48f,
12998740,0.00014200,0.00000000,0.00014200,28954.22613841,595,0.00010000,0x0e55c9e42565875aaea3764b33682714dd2278de|0xb192497d8dbc61795f687f5c261b14df5b2ccd5b,
12998742,0.00010000,0.00000000,0.00010000,28954.22623841,596,0.00010000,0xc56203667aead20ff926d3984c39ab40bced3e52,
12998744,0.00101000,0.00000000,0.00101000,28954.22724841,598,0.00100000,0xec6a5c56685418cc6d2eb5da0682025f114e277b|0xfd38d983ecaaa63798519e2a93d34f3d4f967bec,
12998746,0.00020000,0.00000000,0.00020000,28954.22744841,599,0.00010000,0xcd47f68bab44e3a61acde85308128307900db306|0x4211117e9a19de887e01afdddcf52ba5eefa7d07,
